Oversampling Factor,Noise Level,Amplitude Error Mean,Amplitude Error Std,Frequency Error Mean,Frequency Error Std,Backward Error Mean,Backward Error Std,Relative Backward Error Mean,Relative Backward Error Std,Condition Number Mean,Condition Number Std,Condition Number Min,Condition Number Max,Condition Number Median,Amplitude Error Ratio Mean,Amplitude Error Ratio Std,Frequency Error Ratio Mean,Frequency Error Ratio Std,RMSE Mean,RMSE Std,Rel RMSE Mean,Rel RMSE Std,Backward Error Fixed Mean,Backward Error Fixed Std,Relative Backward Error Fixed Mean,Relative Backward Error Fixed Std,RMSE Fixed Mean,RMSE Fixed Std,Rel RMSE Fixed Mean,Rel RMSE Fixed Std
3,0.0,2.300147002582379e-15,3.944304526105059e-31,2.5668337130259133e-16,0.0,7.820500901669599e-15,3.1554436208840472e-30,1.5148210328249135e-15,0.0,2875424899301108.5,0.0,2875424899301108.5,2875424899301108.5,2875424899301108.5,0.2941176059568411,0.0,0.03282185815588768,2.0816681711721685e-17,1.8967500742836404e-15,3.944304526105059e-31,1.5148210328249127e-15,3.944304526105059e-31,5.067295021666675e-15,1.5777218104420236e-30,1.0676197856851306e-15,0.0,1.6890983405555583e-15,5.9164567891575885e-31,1.0676197856851299e-15,1.9721522630525295e-31
3,0.05555555555555555,0.042141005978089056,0.015325340811358277,0.004360953344416318,0.0013093886377175137,0.17177333493151384,0.034936515561439105,0.03324463644798565,0.006773045158844201,35.536408572642046,8.3974527599169,18.284833145362278,73.72664281602607,34.376559199580456,0.2527732455422858,0.09985420786999377,0.025938959994285204,0.007972317246742707,0.04166115315219007,0.008473349638285207,0.033244636447985636,0.006773045158844196,0.09968545438804327,0.02669272253250487,0.020993455199722313,0.005633075883105556,0.03322848479601442,0.008897574177501623,0.020993455199722302,0.005633075883105553
3,0.1111111111111111,0.08521802257557701,0.031231988006351307,0.008886474707895881,0.002760166484160012,0.34555263483839144,0.07124663957588015,0.06669841758026719,0.013786217009967435,17.83460327155193,4.206176734912084,9.268248430303654,36.89867132135105,17.303680933888973,0.25404381773080353,0.10047674144306487,0.02623480608202871,0.008094797667282815,0.08380882427348099,0.01727984826127443,0.06669841758026715,0.013786217009967426,0.20059086642718396,0.054159099451989025,0.042185539861089014,0.011453267499653577,0.06686362214239466,0.01805303315066301,0.042185539861088986,0.01145326749965357
3,0.16666666666666666,0.13008942114639307,0.04810316773018522,0.013748589583747951,0.004490591079046152,0.5231628728304879,0.11039599898503982,0.1005268813461644,0.02126270768408051,11.961641625297666,2.8118389209510553,6.228082751164581,24.642861353132115,11.603478838395889,0.2560290447700272,0.10109878096043573,0.026736296572555596,0.008294226073026097,0.12688563435774597,0.026774962615347012,0.10052688134616435,0.021262707684080496,0.3038070915547935,0.08302813538121298,0.06374368828887143,0.017597107667060775,0.10126903051826451,0.027676045127070992,0.0637436882888714,0.01759710766706077
3,0.2222222222222222,0.17753672058383616,0.06638933104724576,0.01912081720427545,0.0067163249362894445,0.705954448534647,0.15346219954039397,0.1348012659794337,0.0293427261311815,9.046346263425058,2.1165282630384077,4.67857780593241,18.529741369675087,8.787155182429167,0.2587429840697905,0.10185935982209211,0.027450386933058936,0.008664525758613087,0.17121910342253036,0.0372200504849799,0.1348012659794336,0.029342726131181482,0.4102682197723024,0.11369597355772357,0.0857978532990986,0.02414057535526406,0.1367560732574341,0.03789865785257452,0.08579785329909856,0.02414057535526405
3,0.2777777777777778,0.2282649004228042,0.08657932599203376,0.025209872507584923,0.009796825418558402,0.8946902912380676,0.20058536541688868,0.16947903062396333,0.03797812941919095,7.31474483307497,1.7005648240177786,3.758388081604478,14.873449577875158,7.1030829965826205,0.26224955342954204,0.10296895527303161,0.028416187839072397,0.009376242878971304,0.2169942689993635,0.048649096974526344,0.16947903062396322,0.03797812941919093,0.5208342025306433,0.1463667840351656,0.10845594507802656,0.03110117866541008,0.1736114008435478,0.048788928011721855,0.1084559450780265,0.031101178665410064
3,0.3333333333333333,0.2831022594046475,0.10937605680592134,0.032324436312653575,0.014485179684010658,1.0893955405914555,0.25008601574122646,0.20438010767837397,0.04676100493724484,6.1758112203366125,1.4239458480622431,3.1716434694286817,12.44539504555551,6.009163645244206,0.2667787647480046,0.10473365699300405,0.029731648490326706,0.01079583901233256,0.2642172283491425,0.06065476814064457,0.20438010767837386,0.046761004937244804,0.6363888847172414,0.18133104985419624,0.13182209377720125,0.038490175127034634,0.2121296282390805,0.06044368328473208,0.13182209377720117,0.03849017512703461
3,0.38888888888888884,0.34399068467239785,0.1380317466054284,0.041236781878708856,0.024501885609839267,1.2897417667237392,0.29989262209392153,0.23927320516475686,0.05527764152391406,5.376622203813964,1.2264906890967269,2.8061613814693134,10.719067280235896,5.238596583966901,0.2730210513942763,0.10779882074367589,0.031687248260933325,0.014253148542964084,0.31280832552780646,0.07273464454333405,0.23927320516475672,0.055277641523914026,0.7575454025089821,0.21857703632057707,0.15593632792753817,0.04624435152400579,0.2525151341696607,0.07285901210685904,0.15593632792753812,0.046244351524005765
3,0.4444444444444444,0.4142796952471995,0.1890723496615941,0.0552387154493394,0.07748775086608259,1.4950415008706177,0.34870512174095036,0.27387923563777555,0.06328700406073354,4.791038858622518,1.078029082869472,2.4879756490358953,9.431239299212768,4.663815068409986,0.282129623093144,0.11682799133923832,0.035488995436911794,0.03273009023488925,0.3626008248689126,0.08457341465481198,0.27387923563777533,0.0632870040607335,0.8839612222298718,0.2568527306596228,0.18064052537417508,0.05405466899149142,0.29465374074329065,0.08561757688654092,0.180640525374175,0.054054668991491396
3,0.5,0.49536449776404584,0.2557103601929986,0.07037411250069468,0.09266953386496729,1.704107711390958,0.39699436447207903,0.30784543971010814,0.07079530669114259,4.348804471081743,0.962551886025064,2.2410224596621395,8.43570230933144,4.2234210083297565,0.2945457729409236,0.13433609071993172,0.039520533686958376,0.0403037296909424,0.41330682891144094,0.09628527632313749,0.3078454397101079,0.07079530669114253,1.0154701364671859,0.296587881872847,0.2058318273346291,0.06203998709929908,0.33849004548906203,0.09886262729094898,0.20583182733462896,0.062039987099299046
